UNIT FILE                                     STATE   
systemd-ask-password-plymouth.service         static  
systemd-ask-password-wall.service             static  
systemd-backlight@.service                    static  
systemd-binfmt.service                        static  
systemd-bootchart.service                     disabled
systemd-firstboot.service                     static  
systemd-fsck-root.service                     static  
systemd-fsck@.service                         static  
systemd-halt.service                          static  
systemd-hibernate-resume@.service             static  
systemd-hibernate.service                     static  
systemd-hostnamed.service                     static  
systemd-hwdb-update.service                   static  
systemd-hybrid-sleep.service                  static  
systemd-importd.service                       static  
systemd-initctl.service                       static  
systemd-journal-catalog-update.service        static  
systemd-journal-flush.service                 static  
systemd-journald.service                      static  
systemd-kexec.service                         static  
systemd-localed.service                       static  
systemd-logind.service                        static  
systemd-machine-id-commit.service             static  
systemd-machined.service                      static  
systemd-modules-load.service                  static  
systemd-nspawn@.service                       disabled
systemd-poweroff.service                      static  
systemd-quotacheck.service                    static  
systemd-random-seed.service                   static  
systemd-readahead-collect.service             enabled 
systemd-readahead-done.service                indirect
systemd-readahead-drop.service                enabled 
systemd-readahead-replay.service              enabled 
systemd-reboot.service                        static  
systemd-remount-fs.service                    static  
systemd-rfkill@.service                       static  
systemd-shutdownd.service                     static  
systemd-suspend.service                       static  
systemd-sysctl.service                        static  
systemd-timedated.service                     static  
systemd-tmpfiles-clean.service                static  
systemd-tmpfiles-setup-dev.service            static  
systemd-tmpfiles-setup.service                static  
systemd-udev-settle.service                   static  
systemd-udev-trigger.service                  static  
systemd-udevd.service                         static  
systemd-update-done.service                   static  
systemd-update-utmp-runlevel.service          static  
systemd-update-utmp.service                   static  
systemd-user-sessions.service                 static  
systemd-vconsole-setup.service                static  
target.service                                disabled
targetclid.service                            disabled
tcsd.service                                  disabled
teamd@.service                                static  
tog-pegasus.service                           disabled
trace-cmd.service                             disabled
tuned.service                                 enabled 
udisks2.service                               enabled 
unbound-anchor.service                        masked  
upower.service                                disabled
usb_modeswitch@.service                       static  
usbmuxd.service                               static  
vdo-start-by-dev@.service                     static  
vdo.service                                   enabled 
vgauthd.service                               enabled 
virtlockd.service                             indirect
virtlogd.service                              indirect
vmtoolsd.service                              enabled 
wacom-inputattach@.service                    static  
wpa_supplicant.service                        masked  
zram.service                                  static  
-.slice                                       static  
machine.slice                                 static  
system.slice                                  static  
user-1000.slice                               static  
user.slice                                    static  
avahi-daemon.socket                           masked  
dbus.socket                                   static  
dm-event.socket                               enabled 
ibacm.socket                                  disabled
iscsid.socket                                 enabled 
iscsiuio.socket                               enabled 
lldpad.socket                                 disabled
lvm2-lvmetad.socket                           enabled 
lvm2-lvmpolld.socket                          enabled 
rpcbind.socket                                enabled 
rsyncd.socket                                 disabled
saned.socket                                  disabled
spice-vdagentd.socket                         static  
sshd.socket                                   disabled
sssd-autofs.socket                            disabled
sssd-nss.socket                               disabled
sssd-pac.socket                               disabled
sssd-pam-priv.socket                          disabled
sssd-pam.socket                               disabled
sssd-secrets.socket                           disabled
sssd-ssh.socket                               disabled
sssd-sudo.socket                              disabled
syslog.socket                                 static  
systemd-initctl.socket                        static  
systemd-journald.socket                       static  
systemd-shutdownd.socket                      static  
systemd-udevd-control.socket                  static  
systemd-udevd-kernel.socket                   static  
targetclid.socket                             disabled
virtlockd-admin.socket                        disabled
virtlockd.socket                              enabled 
virtlogd-admin.socket                         disabled
virtlogd.socket                               enabled 
anaconda.target                               static  
basic.target                                  static  
bluetooth.target                              static  
cryptsetup-pre.target                         static  
cryptsetup.target                             static  
ctrl-alt-del.target                           disabled
default.target                                enabled 
emergency.target                              static  
final.target                                  static  
getty-pre.target                              static  
getty.target                                  static  
graphical.target                              enabled 
halt.target                                   disabled
hibernate.target                              static  
hybrid-sleep.target                           static  
initrd-fs.target                              static  
initrd-root-fs.target                         static  
initrd-switch-root.target                     static  
initrd.target                                 static  
iprutils.target                               disabled
kexec.target                                  disabled
local-fs-pre.target                           static  
local-fs.target                               static  
machines.target                               disabled
multi-user.target                             static  
network-online.target                         static  
network-pre.target                            static  
network.target                                static  
nfs-client.target                             enabled 
nss-lookup.target                             static  
nss-user-lookup.target                        static  
paths.target                                  static  
poweroff.target                               disabled
printer.target                                static  
rdma-hw.target                                static  
reboot.target                                 disabled
remote-cryptsetup.target                      disabled
remote-fs-pre.target                          static  
remote-fs.target                              enabled 
rescue.target                                 disabled
rpc_pipefs.target                             static  
rpcbind.target                                static  
runlevel0.target                              disabled
runlevel1.target                              disabled
runlevel2.target                              static  
runlevel3.target                              static  
runlevel4.target                              static  
runlevel5.target                              enabled 
runlevel6.target                              disabled
shutdown.target                               static  
sigpwr.target                                 static  
sleep.target                                  static  
slices.target                                 static  
smartcard.target                              static  
sockets.target                                static  
sound.target                                  static  
suspend.target                                static  
swap.target                                   static  
sysinit.target                                static  
system-update.target                          static  
time-sync.target                              static  
timers.target                                 static  
umount.target                                 static  
virt-guest-shutdown.target                    static  
chrony-dnssrv@.timer                          disabled
fstrim.timer                                  disabled
mdadm-last-resort@.timer                      static  
mdcheck_continue.timer                        disabled
mdcheck_start.timer                           disabled
mdmonitor-oneshot.timer                       disabled
pmie_check.timer                              disabled
pmie_daily.timer                              disabled
pmlogger_check.timer                          disabled
pmlogger_daily-poll.timer                     disabled
pmlogger_daily.timer                          disabled
systemd-readahead-done.timer                  indirect
systemd-tmpfiles-clean.timer                  static  
unbound-anchor.timer                          enabled 

446 unit files listed.
